                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.4953,                0.54147,                  1.047,                0.91432,                0.57394,                0.63399,                 0.5166,                0.72627,                0.98699,                 1.1597,             0.00028475,             0.00028475,             0.00028475
                     80,                0.48957,                0.54616,                 1.0456,                0.66482,                  0.577,                0.62982,                0.50959,                0.71641,                 1.0202,                 1.1571,             0.00027237,             0.00027237,             0.00027237
                     81,                0.51217,                0.54923,                 1.0492,                0.64995,                0.58946,                0.63478,                0.50909,                0.73778,                 1.0212,                 1.1791,                0.00026,                0.00026,                0.00026
                     82,                0.49979,                0.53866,                 1.0492,                0.92338,                0.55799,                0.62934,                0.50742,                  0.719,                 1.0266,                 1.1506,             0.00024762,             0.00024762,             0.00024762
                     83,                0.48914,                0.54196,                 1.0517,                0.87333,                0.59522,                 0.6324,                0.51519,                0.71376,                 1.0368,                 1.1523,             0.00023525,             0.00023525,             0.00023525
                     84,                0.50042,                0.53797,                 1.0434,                0.86569,                0.60898,                0.63926,                0.51935,                 0.7094,                 1.0349,                 1.1441,             0.00022288,             0.00022288,             0.00022288
                     85,                0.48587,                0.55734,                 1.0454,                0.90971,                0.57812,                0.63135,                0.51555,                0.70051,                  1.084,                 1.1499,              0.0002105,              0.0002105,              0.0002105
                     86,                0.48391,                0.53036,                 1.0422,                0.63978,                0.58263,                0.63269,                0.52196,                0.68579,                0.98833,                 1.1299,             0.00019813,             0.00019813,             0.00019813
                     87,                0.48736,                0.53575,                  1.035,                0.63421,                0.58694,                0.62991,                0.52116,                0.68485,                  1.035,                  1.142,             0.00018575,             0.00018575,             0.00018575
                     88,                0.48611,                0.52962,                 1.0411,                0.65485,                0.59404,                0.63493,                0.51846,                0.70084,                 1.0143,                 1.1492,             0.00017338,             0.00017338,             0.00017338
                     89,                0.47904,                0.51368,                 1.0243,                0.91553,                0.58819,                0.63519,                0.51744,                0.70239,                  1.019,                 1.1515,               0.000161,               0.000161,               0.000161
