lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,hu_moment0,hu_moment1,hu_moment2,hu_moment3,hu_moment4,hu_moment5,hu_moment6,mean_edge,std_dev_edge
7.2e-05,0.000904,0.0,0.00766,0.0,0.024372,0.0,0.007404,0.959588,0.0008570735680808763,2.020246441191218e-08,5.709930222013566e-11,5.639386636046857e-13,-3.079887413921278e-24,-7.598770624701306e-17,8.688597974426798e-25,68.96915926607548,245.31045650385698
0.000188,0.002716,0.0,0.025172,0.0,0.047808,0.0,0.024024,0.900092,0.001355090297582431,1.0796491538853046e-09,4.4491214065944663e-11,3.2856460971359365e-11,-8.597104899495076e-22,-8.35915482014794e-16,9.159724085209018e-22,160.34673507635185,347.1827641896329
6.4e-05,0.001004,0.0,0.006784,0.0,0.022616,0.0,0.0065,0.963032,0.0008612564465312657,4.099706922203081e-08,7.896802727549913e-12,3.599633515376255e-12,2.793569717762571e-24,2.1942993183725225e-16,-1.8987276972106578e-23,64.02356329719495,236.63484093161364
6e-05,0.00058,0.0,0.004392,0.0,0.013772,0.0,0.004264,0.976932,0.0006754472016036383,6.5304929380821815e-09,7.925489959479895e-12,5.835894427794488e-13,8.98905005936489e-25,3.7903235305039607e-17,-8.759085826955118e-25,40.39535561789977,190.71430582025934
0.000104,0.001252,0.0,0.009192,0.0,0.021444,0.0,0.009236,0.958772,0.0008770914615430177,1.1764360498091606e-07,9.04873602102509e-11,9.239847421302629e-12,-2.459789452296329e-22,-3.167882929196887e-15,-1.04284742698383e-22,66.72651095310253,237.92572104761075
1.6e-05,0.00014,0.0,0.002304,0.0,0.003896,0.0,0.002288,0.991356,0.0006564232413831259,2.781134955563589e-08,6.2517589800775854e-12,8.743118018075507e-14,2.301460711017981e-26,1.7335595074481615e-18,-6.040400268107391e-26,14.370301679010002,114.06917387994991
9.2e-05,0.000684,0.0,0.006312,0.0,0.01286,0.0,0.006056,0.973996,0.0007361254624397824,2.1990148567110162e-08,2.107349211501866e-11,6.313620070598503e-12,1.3777834626153276e-23,6.580669083968709e-16,-7.151072966650398e-23,40.22669351856594,187.01818715986786
1.6e-05,0.000236,0.0,0.003148,0.0,0.007532,0.0,0.003072,0.985996,0.0007700595399023086,3.2716716985594094e-09,9.854430538159107e-12,6.230447424872702e-13,-1.718005348758409e-25,-4.0265757478144074e-18,1.5342236940560234e-24,20.945757786117532,137.52350792051985
0.000256,0.00084,0.0,0.010336,0.0,0.020516,0.0,0.0096,0.958452,0.0014132161799281372,5.316345087554926e-08,3.8212824897631836e-11,4.330544982298739e-11,9.028196147280306e-22,9.175928346916435e-15,-1.5127160868882333e-21,62.81415713425697,231.49190409928565
0.0,6.4e-05,0.0,0.003408,0.0,0.015532,0.0,0.003976,0.97702,0.0015160579340310954,1.548686967471099e-08,8.221701641396631e-13,6.984563629554928e-13,-4.911380140375751e-25,-8.667926361061027e-17,1.9729750124269126e-25,24.728282919897485,149.9582369322656
